precio,ubicacion,tamanio,metros_cuadrados,num_baños,num_estacionamientos,num_recamaras,antiguedad,calle,colonia,alcaldia
32000," vaco de quiroga ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",14322,2,2,2,2,1.0, vaco de quiroga , Santa Fe Cuajimalpa,Cuajimalpa de Morelos
24600," Ciudad de Los Deportes ,  Ciudad de los Deportes, Benito Juárez",8721,87,2,1,1,2.0, Ciudad de Los Deportes , Ciudad de los Deportes,Benito Juárez
16500," Calle grandados 14,  Cuajimalpa, Cuajimalpa de Morelos",7021,70,2,1,1,2.0, Calle grandados 14, Cuajimalpa,Cuajimalpa de Morelos
33000," Calz. Gral. Mariano Escobedo 300,  Anáhuac I Sección, Miguel Hidalgo",7511,75,1,1,1,1.0, Calz. Gral. Mariano Escobedo 300, Anáhuac I Sección,Miguel Hidalgo
35000," Av Popocatepetl ,  Santa Cruz Atoyac, Benito Juárez",11532,2,2,3,3,1.0, Av Popocatepetl , Santa Cruz Atoyac,Benito Juárez
43000," LAGO ISEO,  Anáhuac I Sección, Miguel Hidalgo",12032,120,2,2,2,3.0, LAGO ISEO, Anáhuac I Sección,Miguel Hidalgo
26500," lago alberto 300,  Ampliación Granada, Miguel Hidalgo",6011,60,1,1,1,1.0, lago alberto 300, Ampliación Granada,Miguel Hidalgo
25000000," Tres Picos,  Polanco, Miguel Hidalgo",24232,3,2,3,3,8.0, Tres Picos, Polanco,Miguel Hidalgo
11500," RIO SAN JOAQUIN,  Lomas de Sotelo, Miguel Hidalgo",5121,1,1,2,2,5.0, RIO SAN JOAQUIN, Lomas de Sotelo,Miguel Hidalgo
27000," ejercito nacional 453 ,  Granada, Miguel Hidalgo",6411,64,1,1,1,1.0, ejercito nacional 453 , Granada,Miguel Hidalgo
55000," LAGO ZURICH ,  Ampliación Granada, Miguel Hidalgo",9032,2,2,3,3,12.0, LAGO ZURICH , Ampliación Granada,Miguel Hidalgo
