precio,ubicacion,tamanio,direccion,colonia,alcaldia
18000," Av. San Jerónimo 1423,  San Jerónimo Lídice, La Magdalena Contreras",38130, Av. San Jerónimo 1423,  San Jerónimo Lídice, La Magdalena Contreras
7500," Sudermann ,  Polanco, Miguel Hidalgo",12, Sudermann ,  Polanco, Miguel Hidalgo
10000," Cda.lago Chapultepec, 161,  5 de Mayo, Miguel Hidalgo",56, Cda.lago Chapultepec, 161,"  5 de Mayo, Miguel Hidalgo"
25000," Isurgentes Sur 1391,  Insurgentes Mixcoac, Benito Juárez",52500, Isurgentes Sur 1391,  Insurgentes Mixcoac, Benito Juárez
11000," Concepción Bésitegui,  Narvarte Oriente, Benito Juárez",28, Concepción Bésitegui,  Narvarte Oriente, Benito Juárez
64000," Juárez,  Juárez, Cuauhtémoc",80, Juárez,  Juárez, Cuauhtémoc
20000," Av. de las Culturas,  El Rosario, Azcapotzalco",72, Av. de las Culturas,  El Rosario, Azcapotzalco
16000," Local Comercial en Prolongacion Bosques de Reforma,  Bosques de las Lomas, Cuajimalpa de Morelos",44, Local Comercial en Prolongacion Bosques de Reforma,  Bosques de las Lomas, Cuajimalpa de Morelos
5000," Avenida Victoria Oriente,  Tres Estrellas, Gustavo A. Madero",12, Avenida Victoria Oriente,  Tres Estrellas, Gustavo A. Madero
29000," PROGRESO ,  Escandón I Sección, Miguel Hidalgo",40, PROGRESO ,  Escandón I Sección, Miguel Hidalgo
10000," Av Emilio Carranza,  Moctezuma, Venustiano Carranza",34, Av Emilio Carranza,  Moctezuma, Venustiano Carranza
60000," MILITAR MARTE,  Militar Marte, Iztacalco",14, MILITAR MARTE,  Militar Marte, Iztacalco
29000," ROMA NORTE,  Roma Norte, Cuauhtémoc",43, ROMA NORTE,  Roma Norte, Cuauhtémoc
4500," Jose Caramillo,  Hogar y Redención, Alvaro Obregón",14, Jose Caramillo,  Hogar y Redención, Alvaro Obregón
11500," Quinta Cerrada Cañaverales ,  Magisterial, Tlalpan",35, Quinta Cerrada Cañaverales ,  Magisterial, Tlalpan
35000,"  Del Valle Centro, Benito Juárez,  Del Valle Sur, Benito Juárez",68,  Del Valle Centro, Benito Juárez,"  Del Valle Sur, Benito Juárez"
26500," Valladolid,  Roma Norte, Cuauhtémoc",306, Valladolid,  Roma Norte, Cuauhtémoc
10000," Hipodromo Condesa,  Hipódromo Condesa, Cuauhtémoc",10, Hipodromo Condesa,  Hipódromo Condesa, Cuauhtémoc
15911," Manzanillo,  Roma Norte, Cuauhtémoc",69, Manzanillo,  Roma Norte, Cuauhtémoc
17000," Leibnitz,  Anzures, Miguel Hidalgo",19, Leibnitz,  Anzures, Miguel Hidalgo
11000," Hipodromo Condesa,  Hipódromo Condesa, Cuauhtémoc",11, Hipodromo Condesa,  Hipódromo Condesa, Cuauhtémoc
